class_id,class_name,accuracy,correct,total
5,orange,0.9800,98,100
2,road,0.9700,97,100
4,motorcycle,0.9700,97,100
41,wardrobe,0.9700,97,100
17,skunk,0.9500,95,100
20,tank,0.9500,95,100
35,skyscraper,0.9400,94,100
45,tractor,0.9400,94,100
61,aquarium_fish,0.9400,94,100
73,bicycle,0.9300,93,100
80,palm_tree,0.9300,93,100
90,sunflower,0.9300,93,100
19,chimpanzee,0.9200,92,100
60,keyboard,0.9200,92,100
30,apple,0.9100,91,100
32,plain,0.9100,91,100
64,pickup_truck,0.9100,91,100
78,chair,0.9100,91,100
86,cockroach,0.9100,91,100
14,mountain,0.9000,90,100
23,lawn_mower,0.9000,90,100
79,sea,0.9000,90,100
7,fox,0.8900,89,100
31,raccoon,0.8900,89,100
39,bee,0.8900,89,100
1,spider,0.8800,88,100
8,wolf,0.8800,88,100
29,television,0.8800,88,100
40,trout,0.8800,88,100
44,rocket,0.8700,87,100
96,train,0.8700,87,100
3,orchid,0.8600,86,100
13,hamster,0.8600,86,100
55,poppy,0.8600,86,100
68,castle,0.8600,86,100
71,bridge,0.8600,86,100
74,streetcar,0.8600,86,100
26,lion,0.8500,85,100
49,tiger,0.8500,85,100
38,cup,0.8400,84,100
82,camel,0.8400,84,100
92,bottle,0.8400,84,100
12,cloud,0.8300,83,100
21,can,0.8300,83,100
18,clock,0.8200,82,100
46,whale,0.8200,82,100
57,bed,0.8200,82,100
58,house,0.8200,82,100
94,rose,0.8200,82,100
42,sweet_pepper,0.8100,81,100
47,pear,0.8100,81,100
0,beetle,0.8000,80,100
54,kangaroo,0.8000,80,100
67,snail,0.8000,80,100
85,leopard,0.8000,80,100
33,telephone,0.7900,79,100
52,lamp,0.7800,78,100
53,porcupine,0.7800,78,100
59,worm,0.7800,78,100
65,elephant,0.7800,78,100
76,crab,0.7800,78,100
88,crocodile,0.7800,78,100
51,plate,0.7700,77,100
6,cattle,0.7600,76,100
22,dinosaur,0.7600,76,100
98,pine_tree,0.7600,76,100
36,flatfish,0.7500,75,100
81,dolphin,0.7500,75,100
24,butterfly,0.7400,74,100
70,mushroom,0.7400,74,100
75,rabbit,0.7400,74,100
84,squirrel,0.7300,73,100
99,table,0.7300,73,100
34,oak_tree,0.7200,72,100
83,maple_tree,0.7200,72,100
15,bus,0.7100,71,100
37,bear,0.7100,71,100
93,couch,0.7100,71,100
95,ray,0.7000,70,100
43,caterpillar,0.6900,69,100
66,baby,0.6900,69,100
9,turtle,0.6800,68,100
10,snake,0.6800,68,100
27,lobster,0.6800,68,100
48,mouse,0.6800,68,100
63,beaver,0.6800,68,100
91,tulip,0.6800,68,100
56,willow_tree,0.6600,66,100
11,shark,0.6500,65,100
72,woman,0.6500,65,100
87,forest,0.6500,65,100
16,boy,0.6400,64,100
62,possum,0.6200,62,100
25,man,0.6100,61,100
97,shrew,0.6100,61,100
89,bowl,0.6000,60,100
77,girl,0.5900,59,100
50,lizard,0.5800,58,100
69,seal,0.5800,58,100
28,otter,0.5700,57,100
